carbamoyl Phosphate,Citruline,Aspartate,Arginiosuccinate,Furmate,Arginine,Ornithine,Urea,ATP,AMP,PP,Phosphate,H20,NADPH,H+,O2,NO,NADP+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
